"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Adam Lowry","21-22","WPG","C/L",75,72.17,100,78.53,82.35,82.07,87.47,5.49,0,47.06,12.86,66.98,14.36,88.99,19.44,6.27,0.9,5.49,34.19,52.62,69.55,5.37,11.66,100
"Adrian Kempe","19-20","L.A","L",67,171.5,100,85.07,88.07,90.19,93.81,6.57,0,60.5,10.61,83.07,11.25,106.8,11.62,7.32,0.48,6.57,49.89,71.82,95.18,6.84,10.85,100
"Adrian Kempe","20-21","L.A","L",56,160.63,96.04,81.72,85.6,88.93,90.32,8.98,0.37,60.21,13.47,84.12,14.15,114.01,14.19,8.12,0.87,8.61,46.74,69.97,99.82,7.25,14.91,97.25
"Adrian Kempe","21-22","L.A","C/L",78,226.12,85.36,84.81,87.47,89.9,87.84,6.1,1.05,61.28,10.98,83.79,12,114.27,12.85,7.48,1.03,5.05,50.3,71.79,101.43,6.44,9.95,90.48
"Alec Martinez","19-20","L.A","D",41,61.15,100,81.46,82.69,84.68,84.6,5.87,0,57.44,13.07,71.41,14.95,92.46,16.73,6.09,1.11,5.87,44.37,56.46,75.73,4.98,10.22,100
"Alec Martinez","20-21","VGK","D",53,77.2,100,87.24,87.88,86.67,92.11,7.27,0,50.97,7.45,69.37,9.57,89.3,13.73,6.81,0.58,7.27,43.52,59.8,75.57,6.23,14.27,100
"Aleksander Barkov","19-20","FLA","C",66,222.3,93.99,79.75,82.73,86.1,85.14,8.95,0.57,56.46,14.34,81.3,16.97,112.02,18.09,7.61,1.33,8.38,42.12,64.33,93.94,6.28,15.85,96.01
"Aleksander Barkov","20-21","FLA","C",50,195.98,90.52,84.6,85.02,86.74,91.49,9.09,0.95,63.16,11.5,82.58,14.55,103.8,15.86,7.6,0.71,8.14,51.67,68.03,87.93,6.9,14.39,91.72
"Aleksander Barkov","21-22","FLA","C",67,234.62,91.58,85.62,86.37,87.95,90.46,11.54,1.06,60.07,10.09,81.54,12.86,106.82,14.64,8.46,0.89,10.48,49.98,68.67,92.18,7.57,19.21,89.48
"Alex Barabanov","20-21","S.J","L",9,29.23,100,85.14,83.43,79.45,90.27,4.13,0,46.21,8.07,61.91,12.3,79.34,20.53,6.1,0.66,4.13,38.14,49.61,58.81,5.44,8.93,100
"Alex Barabanov","21-22","S.J","L",66,128.5,86.98,78.77,78.73,80.55,81.66,6.24,0.93,50.18,13.53,63.73,17.22,86.07,20.79,5.7,1.28,5.3,36.65,46.51,65.29,4.42,12.43,93.1
"Alex Barre-Boulet","20-21","T.B","C",15,40.92,79.8,88.38,91.27,92.97,91.17,5.73,1.45,57.21,7.52,78.53,7.51,99.66,7.54,6.96,0.67,4.28,49.69,71.03,92.13,6.29,10.02,80.7
"Alex Barre-Boulet","21-22","T.B","C",14,26.55,100,63.8,68.85,72.16,67.87,4.52,0,36.84,20.9,51.1,23.12,71.68,27.66,4.68,2.21,4.52,15.93,27.98,44.02,2.46,12.27,100
"Alex Carrier","21-22","NSH","D",77,77.2,90.54,77.54,80.03,83.38,86.03,6.92,0.72,39.02,11.3,53.78,13.42,71.49,14.25,4.79,0.78,6.19,27.72,40.36,57.25,4.01,17.73,93.6
"Alex Chiasson","19-20","EDM","R",64,142.2,90.89,83.91,87.33,88.97,92.67,13.43,1.35,57.7,11.07,78.93,11.45,104.49,12.95,9.18,0.73,12.08,46.63,67.49,91.54,8.45,23.27,87.84
"Alex Chiasson","20-21","EDM","R",44,132.25,85.99,86.15,88.2,88.99,92.03,11.97,1.95,74.79,12.03,97.32,13.03,124.88,15.44,10.69,0.93,10.02,62.76,84.29,109.43,9.76,16.01,83.78
"Alex Chiasson","21-22","VAN","R",66,124.47,100,86.31,89.22,91.52,89.97,8.58,0,61.44,9.74,84.62,10.22,110.38,10.22,8.9,0.99,8.58,51.69,74.4,100.15,7.91,13.96,100
"Alex Debrincat","19-20","CHI","R",69,239.75,82.29,84.78,86.53,88.89,89.27,6.97,1.5,58.11,10.43,78.17,12.17,105.35,13.17,7.76,0.93,5.47,47.68,66,92.18,6.83,11.99,85.63
"Alex Debrincat","20-21","CHI","R",52,199.07,85.56,76.65,78.74,81.25,80.72,7.05,1.19,47.63,14.51,60.9,16.44,81.73,18.86,6.54,1.56,5.86,33.12,44.46,62.88,4.98,14.81,91.79
"Alex Debrincat","21-22","CHI","L/R",82,291.13,91.07,86.44,87.22,88.37,91.51,7.96,0.78,55.87,8.77,71.17,10.42,93.86,12.35,7.02,0.65,7.18,47.11,60.74,81.52,6.37,14.25,91.09
"Alex Edler","19-20","VAN","D",58,70.53,91.88,83.62,87.01,86.99,94.99,8.38,0.74,38.64,7.57,55.38,8.27,77.27,11.56,5.81,0.31,7.64,31.07,47.11,65.71,5.5,21.69,90.22
"Alex Formenton","21-22","OTT","L",78,66.65,100,79.37,83.78,84.25,90.45,0.78,0,37.19,9.67,58.16,11.26,75.92,14.2,5.11,0.54,0.78,27.52,46.9,61.72,4.57,2.11,100
"Alex Galchenyuk","19-20","MIN","C",14,29.75,55.92,79.18,81.93,84.21,83.18,2.38,1.88,36.81,9.68,61.55,13.57,72.04,13.51,3.69,0.75,0.5,27.13,47.98,58.53,2.94,6.47,80.62
"Alex Galchenyuk","19-20","PIT","C",45,67.35,88.95,77.15,78.77,82.98,83.71,7.1,0.88,47.92,14.19,62.61,16.87,90.92,18.65,6.32,1.23,6.22,33.73,45.74,72.27,5.09,14.82,93.79
"Alex Galchenyuk","21-22","ARI","C",55,49.37,63.8,72.22,70.15,68.93,80.79,2.53,1.43,31.25,12.02,38.46,16.37,45.85,20.67,3.99,0.95,1.09,19.23,22.09,25.18,3.04,8.09,88.07
"Alex Goligoski","19-20","ARI","D",68,133.62,93.9,84.5,85.31,87.36,87.67,6.98,0.45,47.08,8.63,62.42,10.75,80.1,11.59,5.04,0.71,6.52,38.45,51.67,68.51,4.33,14.82,94.75
"Alex Goligoski","20-21","ARI","D",55,53.82,100,78.31,78.21,81.91,90.52,9.31,0,47.78,13.23,63.76,17.76,85.61,18.91,6.18,0.65,9.31,34.55,46,66.7,5.53,19.48,100
"Alex Goligoski","21-22","MIN","D",71,85.45,77.55,74.38,76.67,79.16,81.01,5.02,1.45,51.29,17.67,70.76,21.53,94.12,24.77,6.68,1.57,3.57,33.63,49.24,69.35,5.11,9.79,91.77
"Alex Iafallo","19-20","L.A","L",68,171.82,100,87.38,89.3,91.16,95.54,6.93,0,63.9,9.23,88.14,10.56,112.64,10.93,7.55,0.35,6.93,54.67,77.58,101.71,7.2,10.85,100
"Alex Iafallo","20-21","L.A","L",55,154.08,92.47,82.55,86.7,89.89,91.51,9.56,0.78,60.66,12.82,85.68,13.14,117.04,13.17,8.31,0.77,8.78,47.83,72.54,103.88,7.54,15.76,93.93
"Alex Iafallo","21-22","L.A","L",79,214.47,81.24,84.34,87.08,89.22,87.02,4.86,1.12,58.7,10.9,79.36,11.77,109.03,13.18,7.18,1.07,3.73,47.8,67.59,95.85,6.11,8.27,89.7
"Alex Kerfoot","19-20","TOR","C",62,82.55,77.04,82.11,81.15,84.05,77.32,5.07,1.51,44.93,9.79,58.43,13.57,78.19,14.84,5.15,1.51,3.56,35.14,44.86,63.35,3.64,11.29,84.56
"Alex Kerfoot","20-21","TOR","C",55,33.27,100,88.63,90.07,91.61,93.12,11.07,0,58.47,7.5,81.82,9.02,98.65,9.04,8.55,0.63,11.07,50.96,72.8,89.61,7.92,18.94,100
"Alex Killorn","19-20","T.B","C",67,174.75,86.09,80.24,83.06,84.09,86.04,8.78,1.42,57.12,14.06,82.94,16.92,105.96,20.05,7.17,1.16,7.36,43.06,66.02,85.91,6.01,15.36,89.92
"Alex Killorn","20-21","T.B","C",55,167.98,92.91,83.38,86.44,88.33,87.99,10.2,0.78,55.16,11,75.39,11.82,97.69,12.91,6.88,0.94,9.42,44.16,63.57,84.78,5.94,18.49,92.92
"Alex Killorn","21-22","T.B","C/L",82,262.27,91.49,83.9,85.54,86.88,88.18,9.83,0.92,61.99,11.89,84.99,14.36,104.86,15.84,8.55,1.15,8.92,50.1,70.63,89.02,7.4,15.86,92.3
"Alex Newhook","21-22","COL","C",70,97.58,83.1,73.66,78.1,82.77,82.93,6.62,1.35,37.09,13.26,55.62,15.59,77.99,16.23,4.39,0.9,5.28,23.83,40.03,61.76,3.49,17.85,89.85
"Alex Nylander","19-20","CHI","L",64,74.57,74.42,74.73,78.66,84,84,2.32,0.8,36.08,12.2,48.04,13.03,68.62,13.07,4.06,0.77,1.52,23.88,35.01,55.55,3.28,6.42,93.47
"Alex Ovechkin","19-20","WSH","L",67,326.03,80.58,81.82,84.38,86.69,88.13,6.87,1.65,53.81,11.95,75.51,13.98,95.87,14.72,7.41,1,5.21,41.86,61.53,81.15,6.41,12.76,86.16
"Alex Ovechkin","20-21","WSH","L",44,184.8,85.09,88.11,89.21,90.55,92.95,9.55,1.67,60.43,8.15,85.5,10.34,105.53,11.01,7.27,0.55,7.87,52.27,75.16,94.52,6.72,15.8,79.49
