"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Braden Holtby","20-21","VAN","G",21,1260.48,76.98,714.46,1000.88,69.07,89.23,92.31,93.1,-0.79,-11.23,-7.91
"Braden Holtby","21-22","DAL","G",24,1318.47,60.85,701.27,968.57,59.73,91.32,93.72,93.83,-0.12,4.24,-1.12
"Brian Elliott","19-20","PHI","G",31,1673.9,78.86,785.43,1053,72.09,89.96,92.51,93.15,-0.64,-7.88,-6.77
"Brian Elliott","20-21","PHI","G",30,1607.72,83.31,759.91,1036.79,63.06,89.04,91.96,93.92,-1.95,-13.38,-20.25
"Brian Elliott","21-22","T.B","G",19,1063.42,42.37,477.46,674.78,42.46,91.13,93.72,93.71,0.01,1.95,0.09
"Calvin Petersen","19-20","L.A","G",8,477.37,21.07,266.46,380.05,27.72,92.09,94.46,92.71,1.75,3.01,6.65
"Calvin Petersen","20-21","L.A","G",35,2015.85,98.05,1126.41,1537.4,102.93,91.3,93.62,93.3,0.32,5.61,4.88
"Calvin Petersen","21-22","L.A","G",37,2176.5,103.79,997.34,1398.43,96.34,89.59,92.58,93.11,-0.53,-11.22,-7.45
"Calvin Pickard","19-20","DET","G",3,164.88,14.69,77.09,101.52,8.13,80.94,85.53,91.99,-6.46,-7.72,-6.56
"Calvin Pickard","20-21","DET","G",6,303.52,15.66,128.96,183.46,10.02,87.86,91.46,94.54,-3.07,-3.79,-5.64
"Calvin Pickard","21-22","DET","G",3,125.63,9.1,74.16,93.6,5.87,87.73,90.28,93.73,-3.45,-2.22,-3.23
"Cam Talbot","19-20","CGY","G",26,1434.65,64.63,789.9,1105.45,64.34,91.82,94.15,94.18,-0.03,6.75,-0.29
"Cam Talbot","20-21","MIN","G",33,1961.45,85.82,1003.89,1407.31,80.2,91.45,93.9,94.3,-0.4,6.57,-5.62
"Cam Talbot","21-22","MIN","G",49,2864.58,131.87,1477.7,1979.63,114.64,91.08,93.34,94.21,-0.87,5.29,-17.23
"Carey Price","19-20","MTL","G",58,3439.82,160.49,1745.28,2342.49,149.45,90.8,93.15,93.62,-0.47,-2.79,-11.04
"Carey Price","20-21","MTL","G",25,1478.75,65.23,651.15,915.46,57.3,89.98,92.87,93.74,-0.87,-5.31,-7.93
"Carey Price","21-22","MTL","G",5,297.5,18.55,155.69,210.9,16.15,88.09,91.2,92.34,-1.14,-4.1,-2.4
"Carter Hart","19-20","PHI","G",43,2355.83,94.14,1104.96,1539.69,101.39,91.48,93.89,93.41,0.47,5.7,7.25
"Carter Hart","20-21","PHI","G",27,1456.32,89.75,728.26,973.38,65.41,87.68,90.78,93.28,-2.5,-22.73,-24.34
"Carter Hart","21-22","PHI","G",45,2603.07,139.35,1477.51,1986.65,132.45,90.57,92.99,93.33,-0.35,-2.21,-6.9
"Carter Hutton","19-20","BUF","G",31,1775.43,93.17,916.67,1263.51,79.68,89.84,92.63,93.69,-1.07,-10.34,-13.49
"Carter Hutton","20-21","BUF","G",13,674.72,40.53,363.56,489.92,32.83,88.85,91.73,93.3,-1.57,-7.07,-7.7
"Carter Hutton","21-22","ARI","G",3,115.97,14.97,59.56,79.24,4.6,74.87,81.11,94.19,-13.09,-9.44,-10.37
"Casey Desmith","20-21","PIT","G",20,1132.32,47.31,542.82,710.33,51.63,91.28,93.34,92.73,0.61,2.65,4.32
"Casey Desmith","21-22","PIT","G",26,1418.15,65.97,767.14,1021.9,64.97,91.4,93.54,93.64,-0.1,5.23,-1
"Cayden Primeau","19-20","MTL","G",2,119.1,5.33,76.22,102.23,5.36,93.01,94.79,94.76,0.03,1.55,0.03
"Cayden Primeau","20-21","MTL","G",4,201.9,13.96,96.22,135.16,9.14,85.49,89.67,93.24,-3.57,-5.11,-4.82
"Cayden Primeau","21-22","MTL","G",12,519.22,41.82,326.24,443.32,29.21,87.18,90.57,93.41,-2.84,-11.54,-12.61
"Charlie Lindgren","19-20","MTL","G",6,360.85,19.85,180.46,256.57,18.95,89,92.26,92.61,-0.35,-3.55,-0.9
"Charlie Lindgren","21-22","STL","G",5,246.42,4.99,112.73,159.85,9.81,95.57,96.88,93.86,3.02,5.47,4.82
"Chris Driedger","19-20","FLA","G",12,642.67,22.28,347.22,444.02,29.67,93.58,94.98,93.32,1.66,9.09,7.39
"Chris Driedger","20-21","FLA","G",23,1361.6,46.3,640.04,889.85,53.66,92.77,94.8,93.97,0.83,12.6,7.36
"Chris Driedger","21-22","SEA","G",27,1478.35,72.35,715.3,1000.77,67.42,89.89,92.77,93.26,-0.49,-5.96,-4.93
"Chris Gibson","20-21","T.B","G",2,112.97,5.23,39.67,50.27,3.31,86.82,89.6,93.42,-3.82,-1.58,-1.92
"Collin Delia","20-21","CHI","G",6,334.48,19.49,205.2,272.03,20.74,90.5,92.84,92.38,0.46,-0.61,1.25
"Collin Delia","21-22","CHI","G",8,343.1,21.54,221.96,295.64,17.01,90.3,92.71,94.25,-1.53,-0.94,-4.53
