"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Brandon Davidson","19-20","CGY/S.J","D",12,149.7,0,0,0,0,17,23,35,0.7,0,0,3.04,20,9,3,24,15,0,0,0,0,0,0,0,0
"Brandon Davidson","20-21","BUF","D",6,92.02,0,0,0,0,7,7,11,0.13,0,0,1.86,5,0,4,14,8,2,1,0,0,-1,0,0,0
"Brandon Duhaime","21-22","MIN","R",80,817.42,6,6,5,17,91,120,161,8.03,6.59,5,6.69,18,13,16,201,90,21,12,12,11,-10,8,20,-12
"Brandon Hagel","20-21","CHI","L",52,727.42,9,11,4,24,91,112,144,9.58,9.89,8.04,8.55,28,11,31,59,102,3,12,1,1,9,9,14,-5
"Brandon Hagel","21-22","CHI/T.B","L",77,1259.46,26,14,4,44,126,167,224,17.26,20.63,15.57,10.34,32,33,53,63,175,13,23,1,1,10,24,33,-9
"Brandon Manning","19-20","EDM","D",9,99.42,1,0,0,1,8,13,16,0.29,12.5,7.69,2.23,6,8,1,10,8,1,3,1,1,2,0,0,0
"Brandon Montour","19-20","BUF","D",54,1052.92,5,6,7,18,86,119,153,3.86,5.81,4.2,3.24,53,27,12,60,68,14,6,0,0,-8,0,0,0
"Brandon Montour","20-21","BUF/FLA","D",50,1024.3,7,7,4,18,94,133,173,4.94,7.45,5.26,3.71,62,22,15,54,56,15,6,0,0,-9,0,0,0
"Brandon Montour","21-22","FLA","D",81,1450.37,11,10,16,37,153,219,298,9.53,7.19,5.02,4.35,65,49,26,64,108,24,13,0,0,-11,0,0,0
"Brandon Pirri","19-20","VGK","C",16,201.03,0,1,1,2,24,37,53,3.46,0,0,9.35,5,4,8,16,19,4,2,0,0,-2,6,3,3
"Brandon Saad","19-20","CHI","L",58,971.35,21,8,4,33,140,181,214,20.06,15,11.6,11.08,19,25,40,36,57,8,11,0,0,3,23,35,-12
"Brandon Saad","20-21","COL","L",44,619.5,15,2,7,24,68,99,129,8.65,22.06,15.15,8.74,10,17,8,16,20,6,6,0,0,0,27,35,-8
"Brandon Saad","21-22","STL","L",78,1268.3,24,17,8,49,158,198,236,20.75,15.19,12.12,10.48,20,25,45,20,51,5,10,0,0,5,8,11,-3
"Brandon Sutter","19-20","VAN","C",44,653.38,8,6,3,17,76,98,112,6.85,10.53,8.16,6.99,15,9,15,18,26,5,11,1,1,6,185,193,-8
"Brandon Sutter","20-21","VAN","C",43,648.35,9,2,1,12,65,85,94,7.05,13.85,10.59,8.29,28,14,23,18,46,1,9,0,0,8,276,221,55
"Brandon Tanev","19-20","PIT","L",68,1003.68,11,4,10,25,96,128,162,9.62,11.46,8.59,7.52,65,37,33,244,171,8,18,0,0,10,6,9,-3
