"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Alexis Lafrenière","21-22","NYR","L",78,92.48,85.46,86.23,88.23,90.11,90.83,5.82,0.99,84.39,13.48,117.25,15.64,142.79,15.67,9.61,0.97,4.83,70.91,101.61,127.12,8.64,6.9,92.66
"Aliaksei Protas","21-22","WSH","C",32,31.38,68.93,81.65,83.46,82.16,85.82,1.93,0.87,20.56,4.62,28.55,5.66,40.03,8.69,2.24,0.37,1.06,15.94,22.89,31.34,1.87,9.39,81.17
"Anders Bjork","19-20","BOS","L",58,20.33,100,80.44,89.18,91.26,83.94,0.99,0,11.8,2.87,23.81,2.89,29.87,2.86,1.83,0.35,0.99,8.93,20.92,27.01,1.48,8.39,100
"Anders Lee","19-20","NYI","C",65,153.85,84.44,88.32,88.83,90.55,90.24,12.26,2.26,139.04,18.38,177.87,22.36,251.84,26.29,17.1,1.85,10,120.66,155.51,225.55,15.25,8.82,87.7
"Anders Lee","20-21","NYI","C",27,66.3,100,83.32,83.85,83.73,87.16,5.23,0,51.79,10.37,69.31,13.35,89.76,17.44,6.99,1.03,5.23,41.42,55.96,72.32,5.96,10.1,100
"Anders Lee","21-22","NYI","C/L",74,177.27,89.63,83.14,86.3,87.66,89.09,24.89,2.88,170.27,34.52,243.57,38.66,311.38,43.83,24.58,3.01,22.01,135.75,204.91,267.55,21.57,14.62,91.66
"Andre Burakovsky","19-20","COL","L",58,136.92,85.28,78.97,81.71,85.6,86.65,12.63,2.18,110.53,29.44,155.33,34.76,214.06,36,13.24,2.04,10.45,81.09,120.57,178.06,11.2,11.43,92.6
"Andre Burakovsky","20-21","COL","L",53,113.35,100,88.69,90.35,91.79,96.42,18.18,0,97.33,12.41,134.94,14.41,183.8,16.44,13.19,0.49,18.18,84.92,120.53,167.36,12.7,18.68,100
"Andre Burakovsky","21-22","COL","L",79,157.03,90.24,86.57,88.65,88.75,88.65,20.26,2.19,143.06,22.19,202.26,25.9,262.26,33.25,17.03,2.18,18.07,120.87,176.36,229.01,14.85,14.16,90.13
"Andreas Athanasiou","19-20","DET/EDM","C",52,102.3,66.11,72.71,75.18,76.43,83.41,7.88,4.04,78.98,29.64,110.48,36.48,132.35,40.81,10.91,2.17,3.84,49.34,74,91.54,8.74,9.98,86.37
"Andreas Athanasiou","20-21","L.A","C",47,85.75,66.21,65.96,73.53,79.92,84.34,1.94,0.99,45.52,23.49,70.24,25.28,104.7,26.3,6.68,1.24,0.95,22.03,44.96,78.4,5.44,4.26,95.79
"Andreas Athanasiou","21-22","L.A","C",28,45.12,69.04,82.5,84.49,86.26,85.61,1.94,0.87,50.58,10.73,65.1,11.95,80.89,12.89,5.65,0.95,1.07,39.85,53.15,68,4.7,3.84,91.89
"Andreas Johnsson","19-20","TOR","L",41,84.62,86.05,79.43,82.25,84.09,85.94,12.83,2.08,81.63,21.14,123.04,26.55,156.3,29.58,11.25,1.84,10.75,60.49,96.49,126.72,9.41,15.72,90.16
"Andreas Johnsson","20-21","N.J","L",50,66.42,86.33,85.87,85.52,88.6,89.88,6.25,0.99,43.03,7.08,59.93,10.15,79.21,10.19,4.62,0.52,5.26,35.95,49.78,69.02,4.1,14.52,86.02
"Andreas Johnsson","21-22","N.J","L",71,75.52,56.83,83.75,82.98,83.95,88.08,2.87,2.18,48.59,9.43,72.73,14.92,96.21,18.39,6.06,0.82,0.69,39.16,57.81,77.82,5.24,5.91,76.88
"Andrei Svechnikov","19-20","CAR","R",67,195.93,91.29,91.86,90.67,92.29,95.13,30.81,2.94,239.83,21.25,306.81,31.57,403.14,33.69,33.43,1.71,27.87,218.58,275.24,369.45,31.72,12.85,86.16
"Andrei Svechnikov","20-21","CAR","R",55,159.22,90.69,87.79,88.94,91.02,87.84,28.75,2.95,161.89,22.51,235.74,29.32,339.84,33.51,23.83,3.3,25.8,139.38,206.42,306.33,20.53,17.76,86.89
"Andrei Svechnikov","21-22","CAR","R",78,223.2,97.76,88.2,89.43,90.44,91.69,37.94,0.87,254.61,34.05,355.36,41.98,447.96,47.37,35.74,3.24,37.07,220.56,313.38,400.59,32.5,14.9,97.44
"Andrew Copp","19-20","WPG","C",59,74.45,100,79.58,79.78,83.17,85.84,4.26,0,45.82,11.76,64.21,16.27,84.69,17.14,4.97,0.82,4.26,34.06,47.94,67.55,4.15,9.3,100
"Andrew Copp","20-21","WPG","C",55,98.43,93.76,83.16,85.8,87.74,89.57,17.73,1.18,120.75,24.45,152.78,25.29,204.08,28.52,14.08,1.64,16.55,96.3,127.49,175.56,12.44,14.68,95.17
