"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Brock Nelson","21-22","NYI","C",71,160.43,88.66,84.64,86.22,87.08,87.44,8.65,1.11,61.36,11.14,83.68,13.37,103.14,15.31,8.38,1.2,7.55,50.22,70.31,87.83,7.18,14.1,90.06
"Bryan Rust","19-20","PIT","R",54,151.58,93.84,85.35,85.96,87.45,91.69,10.43,0.68,58.05,9.97,80.21,13.1,108.95,15.64,8.3,0.75,9.75,48.09,67.11,93.31,7.55,17.97,93.13
"Bryan Rust","20-21","PIT","R",55,154.18,91,82.75,84.18,86.85,86.53,11.06,1.09,62.94,13.12,81.68,15.35,106.86,16.18,8.45,1.32,9.97,49.82,66.33,90.68,7.13,17.57,91.66
"Bryan Rust","21-22","PIT","R",60,202.22,89.42,84.84,85.45,87.25,90.94,9.71,1.15,64.2,11.47,87.41,14.88,113.9,16.64,10.21,1.02,8.56,52.73,72.53,97.26,9.19,15.12,89.99
"Cale Makar","19-20","COL","D",57,210.18,90.23,84.21,86.69,89.13,91.68,7.88,0.85,54.97,10.31,79.15,12.15,106.32,12.97,7.3,0.66,7.03,44.66,67,93.35,6.63,14.34,91.72
"Cale Makar","20-21","COL","D",44,184.18,96.84,91.3,92.18,92.97,94.71,10.09,0.33,77.46,7.38,101.43,8.6,127.14,9.61,10.85,0.61,9.76,70.08,92.83,117.53,10.24,13.02,95.54
"Cale Makar","21-22","COL","D",76,291.82,96.14,89.98,90.7,90.39,92.89,10.51,0.42,71.28,7.94,98.83,10.13,123.24,13.11,9.96,0.76,10.09,63.34,88.69,110.14,9.2,14.75,94.69
"Calen Addison","21-22","MIN","D",14,21.9,100,80.83,82.83,83.09,92.55,2.96,0,60.52,14.36,83.67,17.34,96.52,19.64,8.16,0.66,2.96,46.16,66.33,76.88,7.51,4.89,100
"Calle Jarnkrok","19-20","NSH","C",63,112.32,79.19,88.21,88.62,89.58,87.47,5.96,1.57,60.2,8.04,78.79,10.12,106.27,12.37,6.78,0.97,4.39,52.16,68.67,93.9,5.81,9.89,80.54
"Calle Jarnkrok","20-21","NSH","C",47,79.25,100,79.98,85.05,87.35,88.18,5.91,0,40.9,10.24,61.89,10.88,80.84,11.71,4.91,0.66,5.91,30.66,51.01,69.13,4.25,14.44,100
"Calle Jarnkrok","21-22","CGY/SEA","C",64,124.58,83.57,83.96,85.89,87.02,91.07,5.02,0.99,51.79,9.89,78.29,12.86,99.91,14.91,6.68,0.66,4.04,41.9,65.42,85,6.03,9.7,90.02
"Cam Atkinson","19-20","CBJ","R",44,100.13,84.31,84.78,83.31,83.63,81.44,5.79,1.08,53.64,9.63,63.68,12.76,80.12,15.69,5.76,1.31,4.72,44.01,50.92,64.43,4.45,10.8,88.8
"Cam Atkinson","20-21","CBJ","R",51,115.93,100,82.41,84.4,86.24,83.41,6.36,0,52.57,11.22,69.17,12.78,84.41,13.47,5.65,1.12,6.36,41.35,56.39,70.94,4.52,12.09,100
"Cam Atkinson","21-22","PHI","R",71,192.28,76.07,81.92,84.05,85.55,89.47,3.27,1.03,51.28,11.31,70.66,13.41,92.35,15.6,6.73,0.79,2.24,39.96,57.25,76.75,5.94,6.38,90.9
"Cam Fowler","19-20","ANA","D",58,148.97,78.62,83.69,85.48,86.97,90.48,4.5,1.22,53.55,10.44,69.07,11.74,92.2,13.82,6.55,0.69,3.28,43.12,57.33,78.38,5.86,8.41,88.27
"Cam Fowler","20-21","ANA","D",55,97.1,82.32,83.92,85.13,87.13,92.06,2.85,0.61,47.93,9.18,70.76,12.36,95.06,14.04,6.66,0.57,2.24,38.75,58.41,81.02,6.09,5.94,93.34
"Cam Fowler","21-22","ANA","D",75,159,100,79.67,80.82,84.7,87.9,9.13,0,49.2,12.55,64.86,15.4,95.98,17.34,5.34,0.74,9.13,36.65,49.46,78.65,4.61,18.56,100
"Cam York","21-22","PHI","D",29,67.93,86.34,75.16,78.98,81.58,89.8,5.19,0.82,48.32,15.97,66.65,17.74,86.22,19.47,7,0.79,4.37,32.35,48.92,66.75,6.2,10.75,94.86
"Carl Grundstrom","20-21","L.A","R",47,42.93,100,74.63,76.6,79.8,91.01,4.22,0,45.14,15.35,54.84,16.76,66.75,16.9,5.8,0.57,4.22,29.8,38.09,49.85,5.23,9.35,100
"Carl Soderberg","19-20","ARI","C",68,146.83,94.89,82.16,82.51,85.25,84.1,7.66,0.41,43.3,9.4,59.6,12.63,77.22,13.36,4.58,0.87,7.25,33.9,46.97,63.85,3.71,17.7,95.61
"Carl Soderberg","20-21","CHI/COL","C",45,73.48,83.87,78.87,80.72,83.07,78.54,8.53,1.64,42.93,11.5,55.66,13.29,76.73,15.64,6.16,1.68,6.89,31.43,42.37,61.09,4.47,19.88,85.72
"Carson Soucy","21-22","SEA","D",61,45.33,100,87.76,84.05,86.69,87.02,6.38,0,61.38,8.56,74.07,14.06,99.56,15.29,7.19,1.07,6.38,52.81,60.01,84.28,6.12,10.39,100
"Carter Verhaeghe","20-21","FLA","C",43,57.48,100,69.16,76.01,80.52,89.8,3.08,0,42.1,18.77,63.05,19.9,82.21,19.9,5.97,0.68,3.08,23.33,43.15,62.32,5.29,7.31,100
"Carter Verhaeghe","21-22","FLA","C",78,86.8,75.41,78.31,79.52,83.09,83.92,4.09,1.33,41.47,11.49,54.38,14,78.38,15.95,5.3,1.02,2.76,29.98,40.38,62.43,4.29,9.87,88.39
"Casey Mittelstadt","19-20","BUF","C",31,54.5,77.86,75.71,76.69,79.59,85.39,3.6,1.02,44.03,14.12,57.45,17.46,71.87,18.43,4.57,0.78,2.58,29.9,39.99,53.44,3.79,8.18,92.75
"Casey Mittelstadt","20-21","BUF","C",40,87.73,91.67,81.06,80.5,83.09,83.15,7.45,0.68,49.16,11.48,61.77,14.96,77.05,15.68,6.11,1.24,6.78,37.68,46.81,61.37,4.87,15.16,94.1
"Casey Mittelstadt","21-22","BUF","C",40,100.18,92.2,74.16,79.71,83.6,75.06,7.01,0.59,41.14,14.34,63.4,16.13,82.41,16.17,5.25,1.74,6.42,26.8,47.27,66.24,3.5,17.05,95.86
