"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Alex Carrier","20-21","NSH","D",19,334.22,57.75,48.69,49.67,49.86,51.87,2.03,1.48,28.38,29.9,40.91,41.44,53.03,53.34,2.06,1.92,0.54,-1.52,-0.54,-0.3,0.15,7.14,95.04
"Alex Carrier","21-22","NSH","D",77,1278.28,62.66,48.46,48.41,48.01,48.33,2.61,1.55,29.16,31.02,39.61,42.22,51.43,55.69,2.22,2.37,1.05,-1.85,-2.61,-4.26,-0.15,8.94,94.99
"Alex Chiasson","19-20","EDM","R",65,697.85,52.96,50.72,49.3,50.39,48.67,1.82,1.61,28.16,27.36,39,40.1,54.74,53.9,2.19,2.31,0.2,0.8,-1.11,0.84,-0.12,6.45,94.1
"Alex Chiasson","20-21","EDM","R",45,417.53,37.74,43.54,44.13,44.17,40.34,1.61,2.65,23.61,30.62,32.61,41.28,45.57,57.6,1.53,2.26,-1.04,-7.01,-8.67,-12.04,-0.73,6.8,91.35
"Alex Chiasson","21-22","VAN","R",67,639.12,55.67,49.69,48.89,49.3,47.37,2.52,2.01,28.97,29.34,39.25,41.03,53.72,55.25,2.22,2.47,0.51,-0.36,-1.78,-1.53,-0.25,8.71,93.15
"Alex Chmelevski","21-22","S.J","C",19,235,57.26,49.32,48.8,48.44,49.45,2.01,1.5,28.11,28.89,39.01,40.92,52.62,56,2.42,2.47,0.51,-0.78,-1.91,-3.39,-0.05,7.17,94.79
"Alex Debrincat","19-20","CHI","R",70,946.07,49.84,47.14,48.12,48.35,48.15,2.33,2.34,29.68,33.29,39.63,42.72,54.73,58.46,2.43,2.62,-0.01,-3.61,-3.09,-3.73,-0.19,7.85,92.96
"Alex Debrincat","20-21","CHI","R",52,815.4,53.54,45.11,44.39,45.25,45.81,3.4,2.95,28.92,35.19,37.13,46.53,50.72,61.38,2.5,2.95,0.45,-6.27,-9.39,-10.66,-0.46,11.77,91.61
"Alex Debrincat","21-22","CHI","L/R",82,1310.78,48.59,49.56,48.43,47.95,50.23,2.9,3.07,31.22,31.77,40.36,42.98,53.83,58.44,2.46,2.44,-0.17,-0.55,-2.62,-4.61,0.02,9.3,90.34
"Alex Edler","19-20","VAN","D",59,1045.48,52.08,49.04,49.44,48.6,48.38,2.78,2.55,32.79,34.07,44.81,45.83,59.72,63.16,2.42,2.59,0.22,-1.28,-1.01,-3.44,-0.16,8.47,92.5
"Alex Edler","20-21","VAN","D",52,868.9,44.16,48.86,47.7,45.35,48.75,2.38,3.01,31.3,32.76,41.14,45.1,51.27,61.78,2.46,2.58,-0.63,-1.46,-3.96,-10.51,-0.13,7.61,90.8
"Alex Edler","21-22","L.A","D",41,652.23,57.72,59.18,59.13,56.78,57.08,2.8,2.05,39.56,27.29,53.99,37.32,68.97,52.5,3.23,2.43,0.75,12.27,16.67,16.48,0.8,7.08,92.49
"Alex Formenton","20-21","OTT","L",20,196.87,58.94,39.55,42.3,42.63,47.07,2.68,1.87,21.71,33.18,32.2,43.92,43.96,59.15,2.01,2.26,0.81,-11.47,-11.72,-15.19,-0.25,12.35,94.37
"Alex Formenton","21-22","OTT","L",79,989.22,38.35,47.54,46.73,46.4,47.08,2.02,3.24,30.29,33.43,40.96,46.69,53.19,61.43,2.7,3.03,-1.23,-3.14,-5.73,-8.24,-0.33,6.66,90.3
"Alex Galchenyuk","19-20","MIN/PIT","C",59,618.72,48.46,48.7,48.49,48.14,48.65,2.44,2.6,29.29,30.86,38.17,40.54,51.74,55.73,2.16,2.28,-0.16,-1.57,-2.38,-3.99,-0.12,8.34,91.58
