"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Cal Clutterbuck","21-22","NYI","R",55,114.55,6.41,16.25,15.7,13.43,11.91,0.57,8.27,11.33,58.42,14.65,78.62,16.29,105,0.96,7.09,-7.7,-47.09,-63.98,-88.71,-6.13,4.99,85.85
"Cale Fleury","19-20","MTL","D",40,31.95,50,25.98,21.12,18.97,13.14,1.9,1.9,15.06,42.91,15.06,56.24,18.8,80.3,0.58,3.85,0,-27.85,-41.18,-61.5,-3.27,12.59,95.58
"Cale Makar","20-21","COL","D",44,39.6,0,19.53,19.78,16.42,12.96,0,1.41,10.26,42.27,14.71,59.65,16.36,83.32,0.64,4.27,-1.41,-32.02,-44.94,-66.95,-3.64,0,96.67
"Cale Makar","21-22","COL","D",77,106.95,22.91,24.62,20.12,19.56,14.19,1.78,6,18.08,55.34,19.72,78.28,22.16,91.12,1.32,7.97,-4.22,-37.27,-58.56,-68.96,-6.65,9.87,89.15
"Caleb Jones","21-22","CHI","D",50,20.1,0,18.72,11.37,11.59,1.56,0,6.18,8.84,38.36,8.87,69.13,11.97,91.34,0.09,5.64,-6.18,-29.52,-60.27,-79.37,-5.55,0,83.89
"Calle Jarnkrok","19-20","NSH","C",63,100.57,22.34,14.68,15.02,13.01,11.61,2.38,8.27,9.81,57.04,12.62,71.4,13.92,93.05,0.96,7.31,-5.89,-47.23,-58.78,-79.13,-6.35,24.26,85.49
"Calle Jarnkrok","20-21","NSH","C",48,96.73,15.24,19.47,16.13,14.65,16.71,1.35,7.52,10.95,45.3,12.35,64.21,13.86,80.72,1.1,5.47,-6.17,-34.35,-51.86,-66.87,-4.37,12.34,83.4
"Calle Jarnkrok","21-22","CGY/SEA","C",65,73.01,0,5.52,6.06,5.15,4.83,0,11,3.8,64.99,6.07,94.07,6.74,124.08,0.5,9.89,-11,-61.19,-88,-117.35,-9.39,0,83.07
"Calvin De Haan","19-20","CHI","D",29,77.47,11.75,19.78,17.09,15.27,11.17,0.84,6.28,15.47,62.71,16.4,79.56,18.94,105.04,0.98,7.82,-5.44,-47.24,-63.17,-86.11,-6.84,5.41,89.98
"Calvin De Haan","20-21","CHI","D",42,80.53,0,13.82,11.73,10.44,10.2,0,6.47,8.95,55.78,9.86,74.21,11.62,99.7,0.78,6.88,-6.47,-46.83,-64.34,-88.08,-6.1,0,88.41
"Calvin De Haan","21-22","CHI","D",67,110.27,9.79,19.17,17.24,13.28,17.55,1.09,10.03,12.85,54.17,15.52,74.51,15.96,104.26,1.51,7.11,-8.94,-41.33,-58.99,-88.3,-5.59,8.47,81.49
"Cam Atkinson","19-20","CBJ","R",40,66.28,0,21.13,20.2,20.01,16.61,0,7.1,10.74,40.08,13.35,52.74,16.72,66.83,0.85,4.27,-7.1,-29.35,-39.39,-50.11,-3.42,0,82.29
"Cam Atkinson","20-21","CBJ","R",56,97.33,24.4,27.04,21.81,17.38,15.89,1.81,5.62,16.67,44.98,17.85,64,18.45,87.69,1.1,5.81,-3.8,-28.31,-46.15,-69.24,-4.71,10.87,87.51
"Cam Atkinson","21-22","PHI","R",70,125.58,16.61,18.5,17.56,14.48,12.51,1.84,9.24,13.27,58.46,16.17,75.94,17.08,100.89,1.09,7.62,-7.4,-45.18,-59.77,-83.81,-6.53,13.86,84.2
"Cam Dineen","21-22","ARI","D",34,36.52,0,21.45,18.15,17.64,11.79,0,7.43,13.09,47.94,17.55,79.12,21.88,102.21,0.99,7.38,-7.43,-34.85,-61.58,-80.32,-6.39,0,84.51
"Cam Fowler","19-20","ANA","D",58,39.45,32.52,22.17,19.23,18.05,24.84,4.87,10.1,15.27,53.6,17.83,74.89,19.12,86.81,2.34,7.09,-5.23,-38.33,-57.06,-67.7,-4.75,31.87,81.16
"Cam Fowler","20-21","ANA","D",55,108.5,0,17.98,15.46,13.24,8.99,0,9.76,12.05,54.96,13.53,73.99,13.97,91.56,0.8,8.06,-9.76,-42.91,-60.46,-77.59,-7.27,0,82.24
"Cam Fowler","21-22","ANA","D",73,215.85,3.52,10.66,9.84,8.58,4.85,0.28,7.54,8.48,71.06,10.62,97.34,11.21,119.36,0.46,9.11,-7.27,-62.59,-86.72,-108.16,-8.64,3.25,89.38
"Carl Gunnarsson","19-20","STL","D",35,66.25,13.47,15.79,13.43,10.42,6.24,1.07,6.86,10.47,55.82,11.34,73.09,11.32,97.35,0.51,7.62,-5.8,-45.36,-61.75,-86.03,-7.11,10.21,87.7
"Carl Gunnarsson","20-21","STL","D",11,30.45,0,3.12,5.86,4.52,6.53,0,6.11,1.83,56.99,4.26,68.32,4.26,90.01,0.32,4.51,-6.11,-55.15,-64.06,-85.75,-4.2,0,89.28
"Carl Hagelin","19-20","WSH","L",57,167.58,21.66,22.81,19.53,14.87,10.6,1.23,4.45,11.63,39.36,13.94,57.43,14.93,85.51,0.69,5.86,-3.22,-27.72,-43.49,-70.58,-5.16,10.59,88.68
"Carl Hagelin","20-21","WSH","L",56,143.35,7.59,15.43,13.61,12.19,9.21,0.49,6.01,7.21,39.53,9.54,60.52,11.2,80.71,0.64,6.27,-5.52,-32.32,-50.98,-69.51,-5.63,6.85,84.8
"Carl Hagelin","21-22","WSH","L",52,99.32,17.57,16.17,16.93,15.1,10.28,1.21,5.7,8.87,45.99,12.78,62.71,14.53,81.7,0.77,6.75,-4.48,-37.12,-49.92,-67.17,-5.97,13.69,87.61
"Carl Soderberg","19-20","ARI","C",69,65.2,0,21.05,19.21,16.83,14.11,0,3.5,14.03,52.64,15.18,63.86,16.21,80.09,0.84,5.1,-3.5,-38.6,-48.67,-63.88,-4.26,0,93.36
"Carl Soderberg","20-21","CHI/COL","C",44,61.9,0,18.96,16.26,15.04,16.11,0,7.83,11.91,50.91,13.11,67.48,15.32,86.57,1.11,5.81,-7.83,-39,-54.38,-71.24,-4.69,0,84.62
"Carson Soucy","19-20","MIN","D",55,62.9,0,17.78,15.96,15.38,8.47,0,5.29,11.17,51.65,13.58,71.54,16.9,93.03,0.53,5.77,-5.29,-40.48,-57.96,-76.13,-5.24,0,89.75
"Carson Soucy","20-21","MIN","D",47,48.9,0,18.6,22.11,17.48,11.98,0,5.71,12.38,54.2,18.7,65.89,18.82,88.85,0.71,5.23,-5.71,-41.82,-47.19,-70.02,-4.52,0,89.47
"Carson Soucy","21-22","SEA","D",62,97.18,27.23,16.78,15.87,15.06,18.62,3.17,8.46,12.79,63.43,15.8,83.76,18.1,102.07,1.95,8.53,-5.3,-50.64,-67.96,-83.97,-6.58,24.76,86.66
"Carter Rowney","19-20","ANA","R",70,164.72,21.84,21.95,18.84,16.57,20.07,2.35,8.4,14.28,50.76,15.93,68.61,17.8,89.66,1.55,6.17,-6.05,-36.49,-52.68,-71.86,-4.62,16.43,83.46
"Carter Rowney","20-21","ANA","R",19,49.45,0,4.29,5.07,6.5,1.01,0,4,2.44,54.47,3.7,69.25,7.33,105.4,0.07,7.11,-4,-52.03,-65.54,-98.07,-7.04,0,92.65
