"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Alex Barre-Boulet","20-21","T.B","C",15,184.35,57,51.84,54.55,54.86,62.1,2.25,1.7,25.07,23.3,37.98,31.64,51.06,42.01,2.31,1.41,0.55,1.78,6.34,9.05,0.9,8.98,92.71
"Alex Barre-Boulet","21-22","T.B","C",14,130.75,50.8,42.69,45.8,47.91,48.93,2.76,2.67,26.56,35.65,39.7,46.99,55.02,59.81,2.21,2.31,0.09,-9.09,-7.29,-4.79,-0.1,10.39,92.51
"Alex Belzile","21-22","MTL","R",11,97.3,61.32,50.89,46.89,49.63,42.92,1.89,1.19,30.53,29.46,36.08,40.87,48.38,49.11,1.72,2.29,0.7,1.07,-4.79,-0.73,-0.57,6.18,95.96
"Alex Biega","19-20","DET","D",49,708.1,38.01,41.96,43.57,43.5,42.28,1.25,2.03,24.11,33.35,35.31,45.73,45.23,58.76,1.84,2.51,-0.79,-9.24,-10.42,-13.53,-0.67,5.17,93.91
"Alex Biega","20-21","DET","D",13,124.03,46.54,40.03,39.67,41.32,43.98,2.44,2.8,25.5,38.2,33.33,50.7,46.82,66.49,2.21,2.82,-0.36,-12.7,-17.37,-19.67,-0.6,9.56,92.67
"Alex Carrier","20-21","NSH","D",19,334.22,57.75,48.69,49.67,49.86,51.87,2.03,1.48,28.38,29.9,40.91,41.44,53.03,53.34,2.06,1.92,0.54,-1.52,-0.54,-0.3,0.15,7.14,95.04
"Alex Carrier","21-22","NSH","D",77,1277.98,62.66,48.49,48.48,48.07,48.35,2.61,1.55,29.17,30.98,39.62,42.1,51.44,55.58,2.22,2.37,1.05,-1.81,-2.48,-4.14,-0.15,8.94,94.98
"Alex Chiasson","19-20","EDM","R",65,697.85,52.96,50.72,49.3,50.39,48.67,1.82,1.61,28.16,27.36,39,40.1,54.74,53.9,2.19,2.31,0.2,0.8,-1.11,0.84,-0.12,6.45,94.1
"Alex Chiasson","20-21","EDM","R",45,417.53,37.74,43.54,44.13,44.17,40.34,1.61,2.65,23.61,30.62,32.61,41.28,45.57,57.6,1.53,2.26,-1.04,-7.01,-8.67,-12.04,-0.73,6.8,91.35
"Alex Chiasson","21-22","VAN","R",67,639.25,55.67,49.61,48.83,49.25,47.23,2.52,2.01,28.97,29.43,39.24,41.12,53.7,55.33,2.22,2.48,0.51,-0.46,-1.88,-1.63,-0.26,8.71,93.17
"Alex Chmelevski","21-22","S.J","C",19,235,57.26,49.32,48.8,48.44,49.45,2.01,1.5,28.11,28.89,39.01,40.92,52.62,56,2.42,2.47,0.51,-0.78,-1.91,-3.39,-0.05,7.17,94.79
"Alex Debrincat","19-20","CHI","R",70,946.07,49.84,47.14,48.12,48.35,48.15,2.33,2.34,29.68,33.29,39.63,42.72,54.73,58.46,2.43,2.62,-0.01,-3.61,-3.09,-3.73,-0.19,7.85,92.96
"Alex Debrincat","20-21","CHI","R",52,815.4,53.54,45.11,44.39,45.25,45.81,3.4,2.95,28.92,35.19,37.13,46.53,50.72,61.38,2.5,2.95,0.45,-6.27,-9.39,-10.66,-0.46,11.77,91.61
"Alex Debrincat","21-22","CHI","L/R",82,1310.95,48.59,49.53,48.4,47.93,50.3,2.9,3.07,31.21,31.81,40.35,43.01,53.82,58.48,2.47,2.44,-0.17,-0.6,-2.66,-4.66,0.03,9.3,90.35
"Alex Edler","19-20","VAN","D",59,1045.48,52.08,49.04,49.44,48.6,48.38,2.78,2.55,32.79,34.07,44.81,45.83,59.72,63.16,2.42,2.59,0.22,-1.28,-1.01,-3.44,-0.16,8.47,92.5
"Alex Edler","20-21","VAN","D",52,868.9,44.16,48.86,47.7,45.35,48.75,2.38,3.01,31.3,32.76,41.14,45.1,51.27,61.78,2.46,2.58,-0.63,-1.46,-3.96,-10.51,-0.13,7.61,90.8
"Alex Edler","21-22","L.A","D",41,651.92,57.72,59.25,59.18,56.82,57.12,2.8,2.05,39.57,27.22,54.01,37.25,69.01,52.44,3.24,2.43,0.75,12.36,16.76,16.57,0.81,7.08,92.46
"Alex Formenton","20-21","OTT","L",20,196.87,58.94,39.55,42.3,42.63,47.07,2.68,1.87,21.71,33.18,32.2,43.92,43.96,59.15,2.01,2.26,0.81,-11.47,-11.72,-15.19,-0.25,12.35,94.37
"Alex Formenton","21-22","OTT","L",79,988.82,38.35,47.44,46.62,46.35,46.85,2.02,3.24,30.18,33.44,40.79,46.71,53.09,61.46,2.67,3.03,-1.23,-3.26,-5.92,-8.36,-0.36,6.69,90.3
"Alex Galchenyuk","19-20","MIN","C",14,176.55,65.46,58.79,55.17,52.08,55.14,3.14,1.66,29.37,20.59,40.32,32.76,56.93,52.39,2.08,1.69,1.49,8.78,7.56,4.54,0.39,10.7,91.95
"Alex Galchenyuk","19-20","PIT","C",45,442.17,42.12,45.56,46.08,46.53,46.58,2.16,2.97,29.26,34.96,37.31,43.65,49.66,57.06,2.2,2.52,-0.81,-5.7,-6.34,-7.4,-0.32,7.4,91.49
"Alex Galchenyuk","20-21","OTT","C",8,60.77,0,49.4,47.55,43.67,44.68,0,4.99,33.69,34.51,46.5,51.29,52.28,67.44,1.87,2.31,-4.99,-0.82,-4.79,-15.17,-0.44,0,85.55
"Alex Galchenyuk","20-21","TOR","C",26,331.97,48.25,52.52,50.44,50.17,56.67,3.38,3.63,32.65,29.53,42.57,41.82,55.33,54.96,3.02,2.31,-0.25,3.13,0.74,0.37,0.71,10.36,87.71
"Alex Galchenyuk","21-22","ARI","C",60,731.35,41.03,38.89,38.91,39.57,37.19,2.43,3.49,25.3,39.77,34.68,54.46,45.31,69.21,2.11,3.56,-1.06,-14.46,-19.78,-23.9,-1.45,9.59,91.23
"Alex Goligoski","19-20","ARI","D",70,1287.8,52.09,51.33,49.13,48.87,47.15,2.48,2.28,31.77,30.12,42.03,43.52,56.11,58.71,2.28,2.56,0.2,1.65,-1.49,-2.61,-0.28,7.82,92.42
"Alex Goligoski","20-21","ARI","D",56,1036.55,51.84,48.44,48.79,48.59,49.64,2.78,2.58,27.08,28.82,38.77,40.68,52.19,55.22,2.3,2.33,0.2,-1.75,-1.92,-3.04,-0.03,10.26,91.05
"Alex Goligoski","21-22","MIN","D",72,1154.77,66.14,55.75,54.68,53.9,55.22,4.2,2.15,35.07,27.83,46.42,38.47,60.37,51.64,2.7,2.19,2.05,7.23,7.95,8.73,0.51,11.99,92.27
